seed,accuracy,loss,images,inference_seconds,realization_seconds,total_physical_cells,singleton_state_cells,unique_raw_curves_used
10109,66.31,1.5398213150024413,10000,21.647296767681837,0.14767443761229515,14155776,0,31725
10110,64.97,1.5828600341796875,10000,21.500891845673323,0.12494271248579025,14155776,0,31705
10111,66.06,1.5765542541503905,10000,21.578260648995638,0.1299796998500824,14155776,0,31720
10112,66.25,1.5251780151367187,10000,21.5791627317667,0.09164124354720116,14155776,0,31732
10113,67.72,1.4839558898925782,10000,21.551573574543,0.18711046501994133,14155776,0,31701
10114,67.45,1.4990448013305664,10000,21.543073792010546,0.18744030222296715,14155776,0,31692
10115,66.56,1.5366843322753907,10000,21.548829413950443,0.13911481574177742,14155776,0,31710
10116,67.29,1.4936233322143555,10000,21.542012441903353,0.14179376140236855,14155776,0,31719
10117,67.52,1.4833640197753906,10000,21.563206382095814,0.12461620196700096,14155776,0,31690
10118,66.85,1.522371990966797,10000,21.569641634821892,0.13552386686205864,14155776,0,31722
10119,66.66,1.4862292617797852,10000,21.566610101610422,0.19487010687589645,14155776,0,31715
10120,66.69,1.5060819885253907,10000,21.518503416329622,0.17645971849560738,14155776,0,31722
10121,67.95,1.4549481399536133,10000,21.46292072162032,0.130491741001606,14155776,0,31721
10122,66.36,1.5454497192382812,10000,21.425453387200832,0.16907141357660294,14155776,0,31723
10123,65.68,1.5397964294433595,10000,21.44580117240548,0.19467442110180855,14155776,0,31706
10124,66.57,1.5457936157226562,10000,21.50020059943199,0.13823391869664192,14155776,0,31708
10125,65.66,1.5699014511108398,10000,21.467589806765318,0.1418076455593109,14155776,0,31692
10126,66.76,1.5262051345825196,10000,21.5217895694077,0.17412082478404045,14155776,0,31724
10127,66.38,1.5375175415039062,10000,21.609885971993208,0.19900614395737648,14155776,0,31707
10128,66.9,1.4933353256225586,10000,21.597911786288023,0.15845955163240433,14155776,0,31717
10129,66.24,1.5095179077148437,10000,21.502528429031372,0.161674115806818,14155776,0,31728
10130,66.17,1.5120390899658203,10000,21.53663258999586,0.16502590477466583,14155776,0,31697
10131,66.77,1.4962100128173828,10000,21.49274143576622,0.17567941173911095,14155776,0,31711
10132,65.94,1.5500882720947267,10000,21.5145303606987,0.15081022307276726,14155776,0,31707
10133,66.65,1.491807893371582,10000,21.585324242711067,0.17245647683739662,14155776,0,31713
10134,67.5,1.524523553466797,10000,21.592379815876484,0.1440596505999565,14155776,0,31714
10135,64.98,1.5702760650634766,10000,21.56119340285659,0.1893307827413082,14155776,0,31696
10136,67.82,1.45322548828125,10000,21.45643274486065,0.18194088712334633,14155776,0,31735
10137,66.47,1.5297713333129883,10000,21.608072597533464,0.12941282615065575,14155776,0,31693
10138,65.68,1.5867114227294923,10000,21.51909066736698,0.13749735802412033,14155776,0,31690
10139,67.35,1.485974494934082,10000,21.590986985713243,0.1532052531838417,14155776,0,31692
10140,65.02,1.6422959350585937,10000,21.515731871128082,0.14941254630684853,14155776,0,31722
10141,66.11,1.526723114013672,10000,21.54975862056017,0.18593180179595947,14155776,0,31698
10142,66.76,1.509871600341797,10000,21.51271889731288,0.15042583644390106,14155776,0,31724
10143,66.54,1.540172491455078,10000,21.539552450180054,0.13501258566975594,14155776,0,31710
10144,66.65,1.5082989120483399,10000,21.508206617087126,0.15783343464136124,14155776,0,31735
10145,65.48,1.5846513854980468,10000,21.533932331949472,0.2032538652420044,14155776,0,31720
10146,66.59,1.5274566802978515,10000,21.518201243132353,0.1673133186995983,14155776,0,31698
10147,66.93,1.5144432922363282,10000,21.605803161859512,0.13843442127108574,14155776,0,31740
10148,66.78,1.5165261779785155,10000,21.525316428393126,0.1608288250863552,14155776,0,31721
10149,67.62,1.4955792999267579,10000,21.628820274025202,0.09741049259901047,14155776,0,31704
10150,66.98,1.4998952774047851,10000,21.59426247701049,0.06758870556950569,14155776,0,31742
10151,65.29,1.586252976989746,10000,21.55042127519846,0.13947419077157974,14155776,0,31714
10152,62.99,1.6587637619018554,10000,21.401861865073442,0.1658264771103859,14155776,0,31700
10153,65.8,1.5574118972778321,10000,21.603973917663097,0.1332581490278244,14155776,0,31705
10154,66.48,1.520010107421875,10000,21.5947082079947,0.28137803450226784,14155776,0,31711
10155,66.34,1.50791104888916,10000,21.680004492402077,0.1779128983616829,14155776,0,31715
10156,65.85,1.5690170440673827,10000,21.522571347653866,0.17209313809871674,14155776,0,31711
10157,66.13,1.5287084075927735,10000,21.471833873540163,0.1616130881011486,14155776,0,31740
10158,66.46,1.5398130218505859,10000,21.447697553783655,0.22427139803767204,14155776,0,31705
10159,64.98,1.5843492568969726,10000,21.58434483781457,0.2003854401409626,14155776,0,31731
10160,63.79,1.6352612030029297,10000,21.50952871143818,0.21160927042365074,14155776,0,31726
10161,65.43,1.6238605834960937,10000,21.61011430621147,0.20168542116880417,14155776,0,31719
10162,66.63,1.495136572265625,10000,21.508862301707268,0.16386985778808594,14155776,0,31698
10163,66.95,1.4880058563232421,10000,21.587807901203632,0.1569110043346882,14155776,0,31713
10164,66.0,1.5871760818481446,10000,21.553881097584963,0.1504981964826584,14155776,0,31719
10165,64.73,1.6462830642700195,10000,21.53693215176463,0.18541667982935905,14155776,0,31720
10166,66.53,1.5200228546142578,10000,21.52385278046131,0.1322338618338108,14155776,0,31727
10167,64.96,1.6094330688476564,10000,21.577028211206198,0.13697680458426476,14155776,0,31715
10168,63.71,1.6511936462402343,10000,21.551935128867626,0.12652138993144035,14155776,0,31723
10169,67.01,1.5528145385742187,10000,21.647209245711565,0.12138361856341362,14155776,0,31719
10170,67.18,1.4792785995483397,10000,21.517479948699474,0.12642212584614754,14155776,0,31727
10171,66.85,1.5335568130493165,10000,21.576233260333538,0.1937876082956791,14155776,0,31717
10172,66.06,1.5964412094116212,10000,21.499205507338047,0.15898718312382698,14155776,0,31710
10173,66.65,1.5237230682373046,10000,21.575249064713717,0.1940721534192562,14155776,0,31708
10174,66.75,1.5172060089111328,10000,21.527854043990374,0.1654045544564724,14155776,0,31737
10175,66.32,1.5172711227416993,10000,21.564266745001078,0.19837602600455284,14155776,0,31711
10176,67.09,1.457451968383789,10000,21.568075612187386,0.0682135559618473,14155776,0,31722
10177,66.13,1.5351697860717775,10000,21.52856457233429,0.2073071338236332,14155776,0,31709
10178,66.94,1.5076476608276368,10000,21.488578613847494,0.10277038812637329,14155776,0,31712
10179,67.23,1.4862323059082032,10000,21.619799859821796,0.15183717757463455,14155776,0,31706
10180,67.1,1.5067171951293945,10000,21.585951752960682,0.08853332698345184,14155776,0,31724
10181,62.47,1.7260904266357422,10000,21.532270278781652,0.14891812950372696,14155776,0,31726
10182,66.44,1.4914917098999023,10000,21.557025119662285,0.08931565657258034,14155776,0,31703
10183,65.89,1.6069897506713868,10000,21.55357687920332,0.1526513770222664,14155776,0,31711
10184,64.46,1.6137897613525392,10000,21.590869430452585,0.1186600811779499,14155776,0,31698
10185,65.92,1.5181444946289062,10000,21.534675415605307,0.21423614770174026,14155776,0,31726
10186,67.69,1.5088264938354492,10000,21.619107197970152,0.08241241052746773,14155776,0,31714
10187,66.89,1.509530386352539,10000,21.607332464307547,0.05848633125424385,14155776,0,31716
10188,66.62,1.553924382019043,10000,21.601948849856853,0.056926313787698746,14155776,0,31734
10189,64.5,1.6447377868652344,10000,21.59506342932582,0.06548645719885826,14155776,0,31721
10190,65.98,1.5587443725585937,10000,21.534741573035717,0.14976827055215836,14155776,0,31733
10191,66.34,1.5690234298706054,10000,21.627959232777357,0.07942420244216919,14155776,0,31722
10192,65.17,1.5477703491210937,10000,21.596863586455584,0.15016968548297882,14155776,0,31708
10193,66.1,1.5306393661499023,10000,21.610455110669136,0.31752926856279373,14155776,0,31685
10194,66.24,1.541323518371582,10000,21.503803309053183,0.16591038182377815,14155776,0,31708
10195,65.01,1.6324382537841797,10000,21.545692943036556,0.17305567488074303,14155776,0,31709
10196,64.69,1.5940952651977538,10000,21.613391395658255,0.07395206391811371,14155776,0,31705
10197,64.88,1.5820061798095704,10000,21.568205032497644,0.1979011744260788,14155776,0,31705
10198,66.39,1.5299117355346679,10000,21.56808642297983,0.12899675965309143,14155776,0,31711
10199,64.76,1.5731308151245118,10000,21.535432785749435,0.20385700836777687,14155776,0,31717
